,age,job,marital,education,credit_in_default,housing_loan,personal_loan,last_contact_type,last_contact_month,last_contact_day,last_contact_duration,n_contacts_this_campaign,days_since_last_contact,n_contacts_prev_campaign,prev_campaign_outcome,registered,location
27,55.0,technician,married,professional.course,no,yes,yes,cellular,aug,mon,232.0,4,999,0,nonexistent,no,Portalegre
28,42.0,admin.,single,high.school,no,no,no,cellular,jul,fri,163.0,1,999,0,nonexistent,no,Póvoa de Santa Iria
29,48.0,technician,single,professional.course,no,yes,no,cellular,may,wed,142.0,2,999,0,nonexistent,no,Sines
30,31.0,admin.,divorced,high.school,no,no,no,telephone,jun,fri,111.0,3,999,0,nonexistent,no,Santo Tirso
31,31.0,blue-collar,married,basic.6y,no,yes,no,cellular,nov,mon,232.0,1,999,2,failure,no,Rio Tinto
32,29.0,blue-collar,single,unknown,no,no,no,cellular,jul,mon,135.0,2,999,0,nonexistent,no,Fafe
33,45.0,technician,single,professional.course,no,yes,yes,cellular,mar,thu,143.0,2,999,0,nonexistent,no,Gafanha da Nazaré
34,34.0,admin.,single,university.degree,no,yes,no,cellular,aug,mon,232.0,3,999,0,nonexistent,no,Fátima
35,38.0,management,married,basic.4y,no,no,no,cellular,nov,mon,96.0,2,999,0,nonexistent,no,Vila Franca de Xira
36,41.0,admin.,married,university.degree,no,yes,no,cellular,jul,fri,269.0,7,6,3,success,no,Gafanha da Nazaré
37,40.0,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,134.0,1,999,0,nonexistent,no,Valongo
38,44.0,management,married,unknown,unknown,yes,no,cellular,jul,mon,418.0,1,999,0,nonexistent,no,Santa Comba Dão
39,32.0,technician,single,professional.course,no,yes,no,cellular,apr,mon,54.0,1,999,0,nonexistent,no,Agualva-Cacém
40,53.0,unemployed,married,basic.4y,unknown,yes,no,telephone,may,wed,339.0,10,999,0,nonexistent,no,Barcelos
41,46.0,entrepreneur,married,high.school,no,no,no,cellular,jun,tue,69.0,2,999,1,failure,no,Tavira
42,37.0,services,married,high.school,no,no,no,cellular,may,wed,232.0,1,999,1,failure,no,Agualva-Cacém
43,37.0,admin.,divorced,university.degree,no,yes,no,telephone,jun,mon,683.0,1,999,0,nonexistent,no,Freamunde
44,53.0,unemployed,married,basic.6y,unknown,no,no,cellular,jul,mon,273.0,1,999,0,nonexistent,no,Vila Baleira (a.k.a. Porto Santo)
45,41.0,housemaid,single,basic.4y,unknown,yes,no,cellular,jul,mon,385.0,3,999,0,nonexistent,no,Odivelas
46,53.0,unknown,married,university.degree,no,yes,no,cellular,aug,thu,232.0,1,999,0,nonexistent,no,Câmara de Lobos
47,34.0,technician,single,university.degree,no,yes,no,cellular,aug,wed,82.0,1,999,0,nonexistent,no,Covilhã
48,45.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,142.0,1,999,0,nonexistent,no,Oliveira do Bairro
49,29.0,services,married,basic.9y,no,no,no,telephone,may,fri,116.0,3,999,0,nonexistent,no,Estremoz
50,37.0,admin.,single,university.degree,no,yes,no,cellular,mar,thu,194.0,2,999,1,failure,no,Águeda
51,40.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46.0,1,999,0,nonexistent,no,Guimarães
52,26.0,admin.,married,high.school,no,yes,yes,telephone,jun,wed,119.0,2,999,0,nonexistent,no,Gafanha da Nazaré
53,34.0,blue-collar,married,unknown,unknown,no,yes,cellular,may,thu,262.0,1,999,0,nonexistent,no,Almada
54,27.0,technician,married,unknown,no,yes,no,cellular,jun,mon,492.0,1,999,0,nonexistent,no,Ponta Delgada
55,48.0,technician,married,high.school,no,yes,no,cellular,aug,thu,102.0,3,999,0,nonexistent,no,Marinha Grande
56,38.0,technician,single,basic.9y,unknown,no,no,cellular,jul,fri,171.0,7,999,0,nonexistent,no,Odivelas
57,31.0,entrepreneur,married,unknown,no,yes,no,telephone,jun,fri,40.0,2,999,0,nonexistent,no,Oliveira de Azeméis
58,35.0,blue-collar,married,professional.course,no,yes,no,cellular,may,wed,466.0,2,999,0,nonexistent,no,Mealhada
59,45.0,blue-collar,single,unknown,no,no,no,telephone,may,thu,78.0,3,999,0,nonexistent,no,Lagoa
60,33.0,admin.,single,university.degree,no,no,no,cellular,nov,thu,291.0,1,999,0,nonexistent,no,Portalegre
61,37.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,185.0,2,999,0,nonexistent,no,Viseu
62,42.0,technician,divorced,professional.course,no,yes,no,cellular,aug,tue,265.0,11,999,0,nonexistent,no,Santana
63,30.0,technician,single,university.degree,no,yes,no,cellular,aug,fri,232.0,3,999,0,nonexistent,no,Portalegre
64,43.0,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,fri,101.0,6,999,0,nonexistent,no,Póvoa de Santa Iria
65,44.0,admin.,single,basic.6y,unknown,yes,no,cellular,jul,thu,130.0,2,999,0,nonexistent,no,Albufeira
66,27.0,services,single,high.school,no,yes,no,cellular,jul,tue,168.0,3,999,0,nonexistent,no,Porto
67,36.0,unknown,married,high.school,no,no,no,telephone,may,thu,232.0,2,999,0,nonexistent,no,Tondela
68,32.0,admin.,married,university.degree,no,yes,yes,cellular,nov,thu,51.0,1,999,0,nonexistent,no,Queluz
69,38.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,mon,186.0,1,999,0,nonexistent,no,Olhão da Restauração
70,33.0,technician,married,professional.course,no,yes,no,telephone,aug,fri,58.0,1,999,0,nonexistent,no,Lagoa
71,28.0,technician,single,high.school,no,yes,no,cellular,jul,tue,232.0,1,999,0,nonexistent,no,Esmoriz
72,46.0,blue-collar,unknown,basic.4y,no,no,no,cellular,nov,thu,185.0,2,999,0,nonexistent,no,Olhão da Restauração
73,58.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,aug,wed,232.0,21,999,0,nonexistent,no,Tondela
74,55.0,blue-collar,single,basic.4y,no,yes,no,cellular,apr,wed,232.0,2,999,0,nonexistent,no,Gafanha da Nazaré
75,42.0,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,287.0,1,999,0,nonexistent,no,Oliveira de Azeméis
76,25.0,technician,single,professional.course,no,yes,no,cellular,jul,thu,312.0,5,999,0,nonexistent,no,Torres Vedras
77,44.0,management,married,basic.9y,unknown,no,no,telephone,may,wed,232.0,2,999,0,nonexistent,no,Leiria
78,31.0,blue-collar,single,high.school,no,yes,no,telephone,may,thu,120.0,1,999,0,nonexistent,no,Vila Baleira (a.k.a. Porto Santo)
79,40.0,admin.,married,high.school,unknown,no,yes,cellular,may,fri,232.0,4,999,0,nonexistent,no,Câmara de Lobos
80,33.0,technician,married,professional.course,unknown,no,no,cellular,may,wed,167.0,3,999,1,failure,no,Vila Baleira (a.k.a. Porto Santo)
81,37.0,admin.,married,university.degree,no,yes,no,cellular,jul,wed,353.0,1,999,0,nonexistent,no,Esmoriz
82,33.0,technician,unknown,professional.course,no,no,no,cellular,aug,thu,64.0,1,999,0,nonexistent,no,Vila do Conde
83,34.0,technician,single,university.degree,no,no,no,cellular,jul,tue,173.0,1,999,0,nonexistent,no,Gondomar
84,33.0,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,tue,186.0,1,999,0,nonexistent,no,Alfena
85,33.0,technician,single,professional.course,no,yes,no,cellular,may,tue,42.0,1,999,0,nonexistent,no,Porto
86,34.0,services,single,high.school,no,no,no,cellular,nov,wed,155.0,1,999,1,failure,no,Pinhel
87,39.0,admin.,married,high.school,no,yes,no,telephone,may,fri,343.0,1,999,0,nonexistent,no,Santa Maria da Feira
88,42.0,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,56.0,1,999,0,nonexistent,no,Faro
89,47.0,blue-collar,married,unknown,unknown,no,no,telephone,may,thu,361.0,1,999,0,nonexistent,no,Póvoa de Santa Iria
90,40.0,services,married,basic.6y,no,no,no,cellular,nov,thu,232.0,2,999,0,nonexistent,no,Agualva-Cacém
91,39.0,services,divorced,high.school,unknown,yes,no,telephone,jun,mon,241.0,5,999,0,nonexistent,no,Funchal
92,42.0,blue-collar,married,unknown,no,no,yes,cellular,apr,thu,579.0,3,999,0,nonexistent,no,Estremoz
93,54.0,services,married,basic.9y,no,yes,yes,cellular,nov,mon,175.0,3,999,0,nonexistent,no,Valpaços
94,41.0,admin.,married,university.degree,no,yes,no,cellular,aug,wed,460.0,1,999,0,nonexistent,no,Vila Nova de Santo André
95,33.0,admin.,single,university.degree,no,yes,no,cellular,aug,mon,566.0,6,999,0,nonexistent,no,Praia da Vitória
96,23.0,management,single,university.degree,no,yes,yes,cellular,jul,thu,804.0,2,999,0,nonexistent,no,Praia da Vitória
97,53.0,technician,divorced,high.school,no,yes,no,cellular,jul,tue,232.0,4,999,0,nonexistent,no,Póvoa de Santa Iria
98,54.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,fri,602.0,5,999,0,nonexistent,no,Elvas
99,58.0,unknown,divorced,unknown,unknown,yes,no,cellular,jul,mon,341.0,12,999,0,nonexistent,no,Gondomar
100,35.0,blue-collar,married,basic.4y,no,yes,no,telephone,jul,fri,178.0,1,999,0,nonexistent,no,Rio Tinto
101,25.0,admin.,single,high.school,no,no,no,cellular,jul,tue,313.0,6,999,0,nonexistent,no,Agualva-Cacém
102,41.0,management,married,university.degree,no,unknown,unknown,cellular,may,tue,232.0,1,999,0,nonexistent,no,Chaves
103,35.0,technician,unknown,professional.course,no,yes,no,cellular,aug,mon,120.0,2,999,0,nonexistent,no,Peso da Régua
104,28.0,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,232.0,5,999,0,nonexistent,no,Lagoa
105,26.0,unknown,single,high.school,no,no,no,telephone,jun,wed,72.0,1,999,0,nonexistent,no,Ovar
106,57.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,thu,1051.0,3,999,0,nonexistent,no,Anadia
107,51.0,services,married,high.school,unknown,no,yes,cellular,aug,tue,20.0,5,999,0,nonexistent,no,Barcelos
108,24.0,technician,divorced,professional.course,no,no,no,cellular,apr,fri,332.0,1,999,1,failure,no,Horta
109,29.0,self-employed,married,professional.course,no,no,no,telephone,jun,wed,632.0,1,999,0,nonexistent,no,Caniço
110,46.0,management,married,high.school,no,no,no,cellular,nov,fri,232.0,3,999,0,nonexistent,no,Covilhã
111,53.0,services,married,unknown,no,yes,no,cellular,jun,tue,232.0,1,999,0,nonexistent,no,Agualva-Cacém
112,26.0,services,single,high.school,no,yes,no,cellular,jul,wed,284.0,8,999,0,nonexistent,no,Amora
113,55.0,technician,married,basic.6y,no,yes,no,telephone,may,tue,452.0,2,999,0,nonexistent,no,Guimarães
114,35.0,blue-collar,single,unknown,no,no,no,cellular,jun,mon,232.0,1,999,0,nonexistent,no,Peso da Régua
115,59.0,admin.,divorced,unknown,no,no,no,cellular,apr,wed,194.0,1,999,0,nonexistent,no,Covilhã
116,38.0,services,married,unknown,no,yes,no,telephone,may,wed,333.0,1,999,0,nonexistent,no,Quarteira
117,47.0,admin.,married,university.degree,no,yes,no,cellular,nov,thu,70.0,2,999,0,nonexistent,no,Loulé
118,34.0,unknown,unknown,professional.course,unknown,yes,no,telephone,may,thu,158.0,1,999,0,nonexistent,no,Esposende
119,66.0,retired,married,professional.course,no,yes,yes,cellular,apr,fri,222.0,4,999,0,nonexistent,no,Valongo
120,35.0,management,single,university.degree,no,yes,no,cellular,jul,tue,590.0,23,999,0,nonexistent,no,Lisbon
121,27.0,admin.,married,high.school,no,no,no,cellular,oct,tue,572.0,1,999,0,nonexistent,no,Rio Tinto
122,36.0,housemaid,married,basic.4y,no,no,no,cellular,aug,mon,232.0,2,999,0,nonexistent,no,Tarouca
123,34.0,unknown,married,high.school,no,no,no,telephone,may,tue,211.0,1,999,0,nonexistent,no,Câmara de Lobos
124,39.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,149.0,1,999,0,nonexistent,no,Castelo Branco
125,28.0,services,single,basic.9y,no,yes,no,telephone,may,fri,148.0,2,999,0,nonexistent,no,Oliveira do Bairro
126,41.0,services,married,high.school,unknown,yes,yes,telephone,jun,tue,31.0,1,999,0,nonexistent,no,Alfena
127,34.0,management,married,university.degree,no,yes,no,telephone,may,wed,155.0,1,999,0,nonexistent,no,Figueira da Foz
128,52.0,management,married,university.degree,no,no,no,cellular,may,fri,698.0,5,999,1,failure,no,Ermesinde
129,36.0,blue-collar,married,unknown,unknown,yes,no,telephone,may,fri,219.0,4,999,0,nonexistent,no,Gouveia
130,33.0,unknown,married,unknown,unknown,yes,no,cellular,nov,thu,386.0,2,999,0,nonexistent,no,Funchal
131,50.0,management,married,unknown,no,yes,no,cellular,oct,fri,232.0,2,999,0,nonexistent,no,Pinhel
132,31.0,services,married,high.school,no,no,yes,cellular,nov,thu,232.0,1,999,0,nonexistent,no,Aveiro
133,45.0,blue-collar,single,high.school,no,no,no,cellular,may,fri,358.0,1,999,0,nonexistent,no,Gondomar
134,47.0,admin.,married,university.degree,no,yes,no,telephone,jun,tue,232.0,9,999,0,nonexistent,no,Sines
135,38.0,admin.,married,university.degree,no,yes,no,telephone,aug,fri,20.0,1,999,0,nonexistent,no,Silves
136,55.0,admin.,single,university.degree,unknown,no,no,cellular,nov,mon,232.0,1,999,0,nonexistent,no,Vila do Conde
137,48.0,blue-collar,married,basic.4y,no,no,no,telephone,jun,fri,29.0,2,999,0,nonexistent,no,Agualva-Cacém
138,29.0,services,married,high.school,no,yes,yes,cellular,may,tue,380.0,1,999,0,nonexistent,no,Peso da Régua
139,31.0,blue-collar,married,basic.9y,no,no,no,cellular,nov,thu,277.0,1,999,0,nonexistent,no,Maia
140,51.0,technician,divorced,high.school,unknown,no,no,cellular,aug,tue,162.0,3,999,0,nonexistent,no,Oliveira do Hospital
141,27.0,technician,married,professional.course,no,no,no,cellular,may,tue,234.0,6,999,1,failure,no,Barcelos
142,40.0,technician,married,professional.course,no,yes,no,cellular,aug,thu,232.0,8,999,0,nonexistent,no,Marinha Grande
143,30.0,blue-collar,single,unknown,no,yes,no,telephone,may,mon,232.0,1,999,0,nonexistent,no,Serpa
144,39.0,technician,single,professional.course,no,yes,no,cellular,nov,wed,180.0,1,999,1,failure,no,Leiria
145,29.0,admin.,married,university.degree,no,no,no,telephone,jul,mon,232.0,1,999,0,nonexistent,no,Praia da Vitória
146,55.0,unemployed,divorced,basic.9y,no,no,no,telephone,jun,fri,9.0,6,999,0,nonexistent,no,Mêda
147,34.0,management,divorced,university.degree,no,no,yes,cellular,jul,tue,232.0,5,999,0,nonexistent,no,Trancoso
148,53.0,unknown,married,high.school,unknown,no,no,telephone,jun,wed,232.0,3,999,0,nonexistent,no,Santana
149,51.0,services,married,high.school,unknown,no,yes,telephone,jun,wed,269.0,1,999,0,nonexistent,no,Barreiro
150,29.0,admin.,single,university.degree,no,no,no,cellular,jul,wed,232.0,6,999,0,nonexistent,no,Coimbra
151,22.0,admin.,single,high.school,no,yes,no,cellular,jul,tue,232.0,1,999,0,nonexistent,no,Abrantes
152,42.0,management,married,basic.6y,no,no,no,cellular,nov,fri,133.0,1,999,0,nonexistent,no,Valongo
153,33.0,admin.,married,university.degree,no,no,no,telephone,may,wed,55.0,1,999,0,nonexistent,no,Esposende
154,41.0,admin.,single,high.school,no,no,no,cellular,apr,fri,232.0,3,999,0,nonexistent,no,Barreiro
155,44.0,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,wed,310.0,1,999,0,nonexistent,no,Oliveira do Bairro
156,42.0,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,wed,232.0,11,999,0,nonexistent,no,Tondela
157,26.0,management,unknown,university.degree,unknown,yes,no,cellular,jul,wed,124.0,1,999,0,nonexistent,no,Águeda
158,23.0,student,single,basic.9y,no,no,no,cellular,jul,tue,73.0,6,999,0,nonexistent,no,Almada
159,35.0,blue-collar,single,basic.6y,no,no,no,cellular,nov,thu,370.0,1,999,1,failure,no,Vila Nova de Famalicão
160,52.0,admin.,married,unknown,no,no,no,cellular,aug,mon,232.0,1,999,0,nonexistent,no,Torres Vedras
161,26.0,unknown,married,basic.9y,no,no,no,cellular,may,wed,45.0,2,999,2,failure,no,Gondomar
162,32.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,232.0,2,999,1,failure,no,Rio Tinto
163,45.0,technician,married,professional.course,no,no,no,telephone,jul,wed,20.0,5,999,0,nonexistent,no,Póvoa de Santa Iria
164,36.0,services,unknown,high.school,no,yes,no,cellular,oct,fri,232.0,1,6,1,success,no,Mangualde
165,73.0,retired,married,basic.9y,no,no,no,cellular,aug,fri,239.0,1,15,1,success,no,Alfena
166,38.0,blue-collar,single,basic.6y,no,yes,no,cellular,may,tue,357.0,1,999,2,failure,no,Rebordosa
167,56.0,management,married,basic.9y,unknown,no,no,cellular,apr,tue,232.0,1,999,0,nonexistent,no,Santana
168,40.0,blue-collar,single,unknown,unknown,yes,no,telephone,jun,fri,8.0,7,999,0,nonexistent,no,Vila Baleira (a.k.a. Porto Santo)
169,46.0,blue-collar,married,basic.4y,no,yes,no,cellular,nov,wed,416.0,2,999,0,nonexistent,no,Loulé
170,51.0,services,divorced,unknown,unknown,yes,no,telephone,jun,fri,16.0,3,999,0,nonexistent,no,Águeda
171,24.0,services,single,high.school,no,no,no,telephone,may,wed,260.0,1,999,0,nonexistent,no,Torres Vedras
172,35.0,management,divorced,university.degree,no,no,no,cellular,jul,fri,210.0,4,999,0,nonexistent,no,Évora
173,53.0,unknown,married,basic.4y,no,yes,no,telephone,jul,fri,232.0,1,999,0,nonexistent,no,Beja
174,34.0,admin.,single,high.school,no,no,no,telephone,jun,tue,423.0,1,999,0,nonexistent,no,Funchal
175,45.0,services,divorced,high.school,unknown,no,no,cellular,may,wed,232.0,3,999,0,nonexistent,no,Águeda
176,45.0,blue-collar,married,illiterate,no,yes,no,cellular,aug,fri,232.0,1,999,0,nonexistent,no,Santa Cruz
177,37.0,admin.,divorced,basic.9y,unknown,no,no,telephone,may,thu,312.0,6,999,0,nonexistent,no,Fundão
178,49.0,blue-collar,married,basic.6y,no,no,no,cellular,aug,mon,232.0,6,999,0,nonexistent,no,Vila Franca de Xira
179,36.0,services,married,basic.6y,no,yes,no,telephone,may,thu,64.0,1,999,0,nonexistent,no,Ermesinde
180,43.0,blue-collar,married,basic.9y,unknown,unknown,unknown,cellular,may,tue,46.0,1,999,0,nonexistent,no,Ílhavo
181,34.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,232.0,2,999,0,nonexistent,no,Rebordosa
182,38.0,blue-collar,married,basic.6y,no,no,no,cellular,jul,tue,728.0,8,999,0,nonexistent,no,Águeda
183,56.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,fri,232.0,2,999,0,nonexistent,no,Covilhã
184,37.0,services,married,high.school,no,yes,no,cellular,nov,tue,157.0,2,999,0,nonexistent,no,Oliveira do Bairro
185,29.0,technician,single,basic.9y,no,yes,no,cellular,may,mon,288.0,2,999,0,nonexistent,no,Miranda do Douro
186,40.0,services,married,high.school,no,yes,no,telephone,may,mon,232.0,3,999,0,nonexistent,no,Valbom
187,31.0,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,mon,73.0,1,999,0,nonexistent,no,Agualva-Cacém
188,55.0,unknown,married,university.degree,no,yes,no,cellular,apr,thu,211.0,3,999,0,nonexistent,no,Guimarães
189,44.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,33.0,4,999,0,nonexistent,no,Almada
190,50.0,technician,single,professional.course,no,no,yes,cellular,jul,mon,173.0,8,999,0,nonexistent,no,Tondela
191,58.0,management,married,university.degree,unknown,no,no,telephone,may,thu,205.0,2,999,0,nonexistent,no,Valongo
192,29.0,unemployed,unknown,university.degree,no,no,yes,telephone,may,wed,211.0,2,999,0,nonexistent,no,Évora
193,34.0,unemployed,married,high.school,no,yes,no,cellular,nov,mon,564.0,2,999,0,nonexistent,no,Valbom
194,53.0,admin.,married,basic.9y,unknown,yes,no,telephone,may,fri,168.0,3,999,0,nonexistent,no,Évora
195,42.0,management,married,unknown,unknown,no,no,telephone,may,fri,232.0,2,999,0,nonexistent,no,Marinha Grande
196,51.0,technician,divorced,professional.course,no,yes,yes,cellular,apr,fri,232.0,1,999,1,failure,no,Setúbal
197,42.0,management,married,university.degree,no,no,no,cellular,nov,mon,232.0,1,999,0,nonexistent,no,Câmara de Lobos
198,36.0,technician,unknown,unknown,no,yes,no,telephone,nov,tue,34.0,1,999,0,nonexistent,no,Espinho
199,50.0,blue-collar,married,unknown,unknown,no,yes,telephone,may,tue,600.0,1,999,0,nonexistent,no,Mêda
200,27.0,services,single,high.school,no,yes,no,telephone,may,wed,386.0,1,999,0,nonexistent,no,Portimão
201,57.0,admin.,married,university.degree,unknown,yes,yes,cellular,aug,tue,61.0,4,999,0,nonexistent,no,Macedo de Cavaleiros
202,36.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,98.0,1,999,2,failure,no,Esposende
203,49.0,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,jun,fri,25.0,1,999,0,nonexistent,no,Setúbal
204,29.0,services,married,high.school,unknown,yes,no,cellular,nov,thu,441.0,4,999,0,nonexistent,no,Odivelas
205,50.0,unemployed,married,basic.9y,unknown,yes,no,telephone,aug,thu,192.0,1,999,0,nonexistent,no,Reguengos de Monsaraz
206,42.0,admin.,single,university.degree,unknown,yes,yes,telephone,may,wed,62.0,3,999,0,nonexistent,no,Seixal
207,42.0,admin.,single,high.school,no,yes,no,cellular,jul,thu,154.0,4,999,0,nonexistent,no,Ílhavo
208,44.0,entrepreneur,married,university.degree,unknown,no,yes,cellular,jul,thu,13.0,2,999,0,nonexistent,no,Santana
209,33.0,services,divorced,high.school,no,yes,no,telephone,jun,fri,52.0,4,999,0,nonexistent,no,Seixal
210,33.0,entrepreneur,married,university.degree,no,no,no,cellular,nov,thu,55.0,1,999,0,nonexistent,no,Fundão
211,38.0,technician,single,university.degree,unknown,yes,no,cellular,may,thu,722.0,1,999,0,nonexistent,no,Sines
212,46.0,admin.,married,basic.6y,unknown,yes,no,cellular,may,mon,275.0,2,999,0,nonexistent,no,Vila Real de Santo António
213,52.0,technician,divorced,university.degree,no,no,no,cellular,aug,tue,122.0,1,999,0,nonexistent,no,Lagoa
214,31.0,admin.,married,university.degree,no,no,no,cellular,may,wed,232.0,5,999,0,nonexistent,no,Portimão
215,34.0,services,married,high.school,no,yes,no,cellular,may,mon,577.0,1,999,0,nonexistent,no,Ponte de Sor
216,39.0,technician,married,university.degree,unknown,no,no,cellular,aug,fri,1028.0,1,999,0,nonexistent,no,Valpaços
217,33.0,services,unknown,high.school,no,yes,no,telephone,may,thu,789.0,1,999,0,nonexistent,no,Fafe
218,38.0,admin.,unknown,high.school,no,yes,yes,cellular,jul,mon,263.0,1,999,0,nonexistent,no,Elvas
219,44.0,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,thu,168.0,1,999,0,nonexistent,no,Serpa
220,51.0,unknown,married,basic.4y,unknown,no,no,cellular,aug,tue,232.0,2,999,0,nonexistent,no,Agualva-Cacém
221,43.0,entrepreneur,married,basic.9y,no,no,no,telephone,jun,tue,301.0,1,999,0,nonexistent,no,Barreiro
222,36.0,housemaid,married,high.school,no,no,no,telephone,may,tue,141.0,4,999,0,nonexistent,no,Agualva-Cacém
223,51.0,admin.,married,unknown,no,yes,no,telephone,may,thu,232.0,2,999,0,nonexistent,no,Rio Tinto
224,28.0,admin.,single,university.degree,no,no,no,cellular,jul,thu,69.0,3,999,0,nonexistent,no,Gafanha da Nazaré
225,24.0,services,single,high.school,no,no,no,telephone,jul,wed,61.0,14,999,0,nonexistent,no,Elvas
226,34.0,services,single,high.school,no,no,no,cellular,nov,wed,232.0,2,999,0,nonexistent,no,Tomar
227,35.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,232.0,2,999,0,nonexistent,no,Silves
228,49.0,entrepreneur,married,university.degree,unknown,yes,yes,cellular,may,thu,197.0,3,999,0,nonexistent,no,Câmara de Lobos
229,22.0,blue-collar,single,unknown,unknown,unknown,unknown,telephone,may,tue,270.0,1,999,0,nonexistent,no,Olhão da Restauração
230,37.0,services,married,basic.6y,unknown,yes,no,cellular,nov,mon,372.0,1,999,0,nonexistent,no,Seixal
231,47.0,admin.,married,university.degree,no,no,no,cellular,jul,fri,84.0,3,999,0,nonexistent,no,Fundão
232,38.0,unknown,single,high.school,no,no,no,cellular,aug,tue,243.0,4,999,0,nonexistent,no,Gouveia
